,emojis
🚂,4
🟣,3
®️,3
🔺,3
🥗,3
😆,3
💃,3
🩺,3
🐱,3
🧠,3
✔,3
🥦,3
▪,3
🩸,3
⏳,3
🖥,3
↔,3
💼,3
🌿,3
🔻,3
💔,3
📹,3
😢,3
🎂,3
ℹ️,3
🖐,3
⭕,3
👻,3
🍀,3
🏋,3
☃️,3
♥️,3
☘️,3
🧒,3
🥳,3
❤,3
👷,3
⬆️,3
☄️,3
🛠,3
☠️,3
🆓,3
🧼,3
🦰,3
🏡,3
🤓,2
⚽,2
🌾,2
🍺,2
📑,2
💓,2
🍉,2
🦧,2
🥁,2
🏞,2
🥕,2
🏛,2
🤳,2
⏲️,2
⚠️,2
⛹️‍♂️,2
🥤,2
💶,2
🤗,2
🕑,2
♿,2
🍌,2
🥺,2
🥣,2
‼️,2
⬛,2
👵,2
🧬,2
🔭,2
✉️,2
🐻,2
📃,2
✒️,2
🛫,2
🎻,2
🛸,2
🌌,2
🕔,2
🍅,2
🍲,2
🍻,2
🧓,2
🧰,2
🐦,2
🌕,2
🚁,2
🎦,2
🔎,2
🛰,2
🏊,2
🚆,2
🔽,2
🗞,2
🍷,2
🐘,2
🛒,2
👈,2
😅,2
🐶,2
🥶,2
👎,2
🌸,2
🐈,2
🎞,2
🚬,2
🗺,2
🏍,2
🍒,2
🐙,2
🏄,2
🍛,2
🍿,2
⏱️,2
🤾,2
☄,2
🗳,2
😇,2
⌛,2
🏗,2
🥂,1
🌼,1
🙅,1
😵,1
😼,1
🧚,1
🍔,1
🚐,1
🐯,1
🖌,1
🦽,1
🤕,1
🕶,1
🛏,1
🏭,1
🐑,1
📻,1
🏨,1
🕐,1
🕓,1
🏜,1
🐊,1
📊,1
😲,1
🤢,1
⏫,1
🧸,1
🦠,1
🆘,1
🤍,1
😸,1
📬,1
🩰,1
🙀,1
🧄,1
🌄,1
🍚,1
🌔,1
🚩,1
🤵,1
🦋,1
🦗,1
🏟,1
🧐,1
⚕,1
❕,1
🏅,1
🦄,1
🦥,1
👸,1
♨️,1
👳,1
⛩️,1
🦩,1
🏁,1
☎,1
🔶,1
💳,1
💈,1
💋,1
👽,1
👼,1
🔀,1
🤙,1
🧙,1
🌠,1
🐒,1
🛍,1
🦉,1
🗝,1
🚅,1
⛰️,1
🍫,1
🌡,1
😐,1
🎼,1
⛑️,1
😶,1
🛣,1
🏢,1
🥴,1
🧊,1
🦔,1
🥭,1
❄,1
🌲,1
🐗,1
🤞,1
🍁,1
🥋,1
💲,1
📉,1
🤨,1
🔄,1
😨,1
📩,1
🔃,1
🎮,1
🇽,1
🤯,1
🎫,1
🐺,1
🍳,1
⏪,1
🎒,1
🏹,1
🧔,1
🛥,1
🗨,1
🔑,1
💁,1
👔,1
💒,1
🦻,1
😞,1
🔧,1
🐡,1
🍆,1
🥼,1
💍,1
🦅,1
🐣,1
💧,1
🕹,1
🔚,1
🚽,1
💥,1
🍵,1
🐔,1
🌒,1
👮,1
🎈,1
🦐,1
🕺,1
🐟,1
👃,1
🏴,1
🏃,1
🤧,1
📄,1
🐄,1
®,1
✏️,1
🏦,1
🌘,1
🛵,1
🔈,1
🚛,1
🥟,1
🛡,1
📆,1
🎣,1
🕊,1
🥊,1
😕,1
🙈,1
😏,1
❄️,1
🍊,1
🦳,1
⚫,1
🚌,1
⚖,1
🧲,1
🧡,1
🌧,1
😮,1
🥒,1
🥬,1
🖊,1
🔁,1
📗,1
🔨,1
🌑,1
🧳,1
🧾,1
♥,1
🔝,1
😈,1
🍾,1
👴,1
🍝,1
👥,1
🚰,1
👹,1
🐽,1
🙇,1
💨,1
🧞,1
☕,1
🍏,1
🌶,1
👄,1
💀,1
🐕,1
🧿,1
🏘,1
📋,1
🦘,1
👊,1
🪐,1
🎆,1
